Kod;Województwo;Powiat;Gmina;Komentarz
38-222;podkarpackie;jasielski;Dêbowiec;
38-223;podkarpackie;jasielski;Osiek Jasielski;
38-230;podkarpackie;jasielski;Nowy ¯migród;
38-232;podkarpackie;jasielski;Krempna;
38-241;podkarpackie;jasielski;Jas³o;
38-242;podkarpackie;jasielski;Sko³yszyn;
38-243;podkarpackie;jasielski;Sko³yszyn;
38-245;ma³opolskie;tarnowski;Szerzyny;
38-246;ma³opolskie;tarnowski;Szerzyny;
38-247;ma³opolskie;tarnowski;Szerzyny;
38-300;ma³opolskie;gorlicki;Gorlice;
38-303;ma³opolskie;gorlicki;Gorlice;
38-304;ma³opolskie;gorlicki;Lipinki;
38-305;ma³opolskie;gorlicki;Lipinki;
38-306;ma³opolskie;gorlicki;Biecz;
38-307;ma³opolskie;gorlicki;Sêkowa;
38-311;ma³opolskie;gorlicki;Gorlice;
38-312;ma³opolskie;gorlicki;Ropa;
38-315;ma³opolskie;gorlicki;Uœcie Gorlickie;
38-316;ma³opolskie;gorlicki;Uœcie Gorlickie;
38-321;ma³opolskie;gorlicki;Moszczenica;
38-322;ma³opolskie;gorlicki;£u¿na;
38-323;ma³opolskie;gorlicki;Biecz;
38-324;ma³opolskie;gorlicki;Bobowa;
38-331;ma³opolskie;gorlicki;£u¿na;
38-333;ma³opolskie;gorlicki;Gorlice;
38-340;ma³opolskie;gorlicki;Biecz;
38-350;ma³opolskie;gorlicki;Bobowa;
38-400;podkarpackie;Krosno;Krosno;
38-406;podkarpackie;kroœnieñski;Wojaszówka;
38-420;podkarpackie;kroœnieñski;Korczyna;
38-422;podkarpackie;kroœnieñski;Kroœcienko Wy¿ne;
38-423;podkarpackie;kroœnieñski;Miejsce Piastowe;
38-430;podkarpackie;kroœnieñski;Miejsce Piastowe;
38-440;podkarpackie;kroœnieñski;Iwonicz-Zdrój;
38-441;podkarpackie;kroœnieñski;Iwonicz-Zdrój;
38-450;podkarpackie;kroœnieñski;Dukla;
38-451;podkarpackie;kroœnieñski;Dukla;
38-454;podkarpackie;kroœnieñski;Dukla;
38-455;podkarpackie;kroœnieñski;Miejsce Piastowe;
38-456;podkarpackie;kroœnieñski;Dukla;
38-457;podkarpackie;kroœnieñski;Chorkówka;
38-458;podkarpackie;kroœnieñski;Chorkówka;
38-459;podkarpackie;kroœnieñski;Chorkówka;
38-460;podkarpackie;kroœnieñski;Jedlicze;
38-462;podkarpackie;kroœnieñski;Chorkówka;
38-471;podkarpackie;kroœnieñski;Wojaszówka;
38-473;podkarpackie;kroœnieñski;Wojaszówka;
38-480;podkarpackie;kroœnieñski;Rymanów;
38-481;podkarpackie;kroœnieñski;Rymanów;
38-483;podkarpackie;kroœnieñski;Rymanów;
38-485;podkarpackie;kroœnieñski;Jaœliska;
38-500;podkarpackie;sanocki;Sanok;
38-503;podkarpackie;sanocki;Sanok;
38-504;podkarpackie;sanocki;Sanok;
38-505;podkarpackie;sanocki;Bukowsko;
38-506;podkarpackie;sanocki;Bukowsko;
38-507;podkarpackie;sanocki;Sanok;
38-516;podkarpackie;sanocki;Zagórz;
38-524;podkarpackie;sanocki;Besko;
38-530;podkarpackie;sanocki;Zarszyn;
38-532;podkarpackie;sanocki;Zarszyn;
38-533;podkarpackie;sanocki;Sanok;
38-534;podkarpackie;sanocki;Sanok;
38-535;podkarpackie;sanocki;Tyrawa Wo³oska;
38-540;podkarpackie;sanocki;Zagórz;
38-542;podkarpackie;sanocki;Komañcza;
38-543;podkarpackie;sanocki;Komañcza;
38-600;podkarpackie;leski;Lesko;
38-604;podkarpackie;leski;Baligród;
38-606;podkarpackie;leski;Baligród;
38-607;podkarpackie;leski;Cisna;
38-608;podkarpackie;leski;Cisna;
38-610;podkarpackie;leski;Solina;
38-623;podkarpackie;leski;Olszanica;
38-700;podkarpackie;bieszczadzki;Ustrzyki Dolne;
38-709;podkarpackie;bieszczadzki;Czarna;
38-710;podkarpackie;bieszczadzki;Czarna;
38-711;podkarpackie;bieszczadzki;Ustrzyki Dolne;
38-712;podkarpackie;bieszczadzki;Ustrzyki Dolne;
38-713;podkarpackie;bieszczadzki;Lutowiska;
38-714;podkarpackie;bieszczadzki;Lutowiska;
38-722;podkarpackie;leski;Olszanica;
39-100;podkarpackie;ropczycko-sêdziszowski;Ropczyce;
39-102;podkarpackie;ropczycko-sêdziszowski;Ropczyce;
39-103;podkarpackie;ropczycko-sêdziszowski;Ostrów;
39-104;podkarpackie;ropczycko-sêdziszowski;Ostrów;
39-105;podkarpackie;ropczycko-sêdziszowski;Ropczyce;
39-106;podkarpackie;ropczycko-sêdziszowski;Ropczyce;
39-107;podkarpackie;ropczycko-sêdziszowski;Ropczyce;
39-110;podkarpackie;ropczycko-sêdziszowski;Wielopole Skrzyñskie;
39-111;podkarpackie;ropczycko-sêdziszowski;Wielopole Skrzyñskie;
39-120;podkarpackie;ropczycko-sêdziszowski;Sêdziszów Ma³opolski;
39-122;podkarpackie;ropczycko-sêdziszowski;Sêdziszów Ma³opolski;
39-123;podkarpackie;ropczycko-sêdziszowski;Sêdziszów Ma³opolski;
39-124;podkarpackie;ropczycko-sêdziszowski;Iwierzyce;
39-126;podkarpackie;ropczycko-sêdziszowski;Sêdziszów Ma³opolski;
39-127;podkarpackie;ropczycko-sêdziszowski;Sêdziszów Ma³opolski;
39-200;podkarpackie;dêbicki;Dêbica;
39-203;podkarpackie;dêbicki;¯yraków;
39-204;podkarpackie;dêbicki;¯yraków;
39-205;podkarpackie;dêbicki;Dêbica;
39-206;podkarpackie;dêbicki;Dêbica;
39-207;podkarpackie;dêbicki;Dêbica;
39-208;podkarpackie;dêbicki;Dêbica;
39-209;podkarpackie;dêbicki;¯yraków;
39-215;podkarpackie;dêbicki;Czarna;
39-216;podkarpackie;dêbicki;Czarna;
39-217;podkarpackie;dêbicki;Czarna;
39-218;podkarpackie;dêbicki;¯yraków;
39-220;podkarpackie;dêbicki;Pilzno;
39-221;podkarpackie;dêbicki;Pilzno;
39-222;podkarpackie;dêbicki;Pilzno;
39-223;podkarpackie;dêbicki;Pilzno;
39-224;podkarpackie;dêbicki;Jod³owa;
39-225;podkarpackie;dêbicki;Jod³owa;
39-230;podkarpackie;dêbicki;Brzostek;
39-231;podkarpackie;dêbicki;Brzostek;
39-232;podkarpackie;dêbicki;Brzostek;
39-300;podkarpackie;mielecki;Mielec;
39-304;podkarpackie;mielecki;Czermin;
39-305;podkarpackie;mielecki;Borowa;
39-306;podkarpackie;mielecki;Czermin;
39-307;podkarpackie;mielecki;Gaw³uszowice;
39-308;podkarpackie;mielecki;Wadowice Górne;
39-310;podkarpackie;mielecki;Radomyœl Wielki;
39-311;podkarpackie;mielecki;Radomyœl Wielki;
39-312;podkarpackie;mielecki;Radomyœl Wielki;
39-315;podkarpackie;mielecki;Radomyœl Wielki;
39-320;podkarpackie;mielecki;Przec³aw;
39-321;podkarpackie;mielecki;Przec³aw;
39-322;podkarpackie;mielecki;Przec³aw;
39-331;podkarpackie;mielecki;Mielec;
39-332;podkarpackie;mielecki;Tuszów Narodowy;
39-333;podkarpackie;mielecki;Tuszów Narodowy;
39-340;podkarpackie;mielecki;Padew Narodowa;
39-400;podkarpackie;Tarnobrzeg;Tarnobrzeg;
39-410;podkarpackie;tarnobrzeski;Grêbów;
39-432;podkarpackie;tarnobrzeski;Gorzyce;
39-433;podkarpackie;tarnobrzeski;Gorzyce;
39-434;podkarpackie;tarnobrzeski;Gorzyce;
39-441;podkarpackie;Tarnobrzeg;Tarnobrzeg;
39-442;podkarpackie;tarnobrzeski;Nowa Dêba;
39-450;podkarpackie;tarnobrzeski;Baranów Sandomierski;
39-451;podkarpackie;tarnobrzeski;Baranów Sandomierski;
39-460;podkarpackie;tarnobrzeski;Nowa Dêba;
40-001;œl¹skie;Katowice;Katowice;ca³e miasto jako 1 kszta³t
41-100;œl¹skie;Siemianowice Œl¹skie;Siemianowice Œl¹skie;
41-103;œl¹skie;Siemianowice Œl¹skie;Siemianowice Œl¹skie;
41-106;œl¹skie;Siemianowice Œl¹skie;Siemianowice Œl¹skie;
41-200;œl¹skie;Sosnowiec;Sosnowiec;
41-203;œl¹skie;Sosnowiec;Sosnowiec;
41-205;œl¹skie;Sosnowiec;Sosnowiec;
41-208;œl¹skie;Sosnowiec;Sosnowiec;
41-209;œl¹skie;Sosnowiec;Sosnowiec;
41-214;œl¹skie;Sosnowiec;Sosnowiec;
41-215;œl¹skie;Sosnowiec;Sosnowiec;
41-216;œl¹skie;Sosnowiec;Sosnowiec;
41-217;œl¹skie;Sosnowiec;Sosnowiec;
41-218;œl¹skie;Sosnowiec;Sosnowiec;
41-219;œl¹skie;Sosnowiec;Sosnowiec;
41-250;œl¹skie;bêdziñski;CzeladŸ;
41-260;œl¹skie;bêdziñski;S³awków;
41-300;œl¹skie;D¹browa Górnicza;D¹browa Górnicza;
41-303;œl¹skie;D¹browa Górnicza;D¹browa Górnicza;
41-400;œl¹skie;Mys³owice;Mys³owice;
41-403;œl¹skie;bieruñsko-lêdziñski;Che³m Œl¹ski;
41-404;œl¹skie;Mys³owice;Mys³owice;
41-406;œl¹skie;Mys³owice;Mys³owice;
41-407;œl¹skie;bieruñsko-lêdziñski;Imielin;
41-408;œl¹skie;Mys³owice;Mys³owice;
41-409;œl¹skie;Mys³owice;Mys³owice;
41-412;œl¹skie;Mys³owice;Mys³owice;
41-500;œl¹skie;Chorzów;Chorzów;
41-503;œl¹skie;Chorzów;Chorzów;
41-506;œl¹skie;Chorzów;Chorzów;
41-516;œl¹skie;Chorzów;Chorzów;
41-600;œl¹skie;Œwiêtoch³owice;Œwiêtoch³owice;
41-605;œl¹skie;Œwiêtoch³owice;Œwiêtoch³owice;
41-608;œl¹skie;Œwiêtoch³owice;Œwiêtoch³owice;
41-700;œl¹skie;Ruda Œl¹ska;Ruda Œl¹ska;
41-706;œl¹skie;Ruda Œl¹ska;Ruda Œl¹ska;
41-707;œl¹skie;Ruda Œl¹ska;Ruda Œl¹ska;
41-709;œl¹skie;Ruda Œl¹ska;Ruda Œl¹ska;
41-710;œl¹skie;Ruda Œl¹ska;Ruda Œl¹ska;
41-711;œl¹skie;Ruda Œl¹ska;Ruda Œl¹ska;
41-712;œl¹skie;Ruda Œl¹ska;Ruda Œl¹ska;
41-717;œl¹skie;Ruda Œl¹ska;Ruda Œl¹ska;
41-800;œl¹skie;Zabrze;Zabrze;
41-803;œl¹skie;Zabrze;Zabrze;
41-806;œl¹skie;Zabrze;Zabrze;
41-807;œl¹skie;Zabrze;Zabrze;
41-808;œl¹skie;Zabrze;Zabrze;
41-809;œl¹skie;Zabrze;Zabrze;
41-810;œl¹skie;Zabrze;Zabrze;
41-811;œl¹skie;Zabrze;Zabrze;
41-813;œl¹skie;Zabrze;Zabrze;
41-814;œl¹skie;Zabrze;Zabrze;
41-818;œl¹skie;Zabrze;Zabrze;
41-819;œl¹skie;Zabrze;Zabrze;
41-902;œl¹skie;Bytom;Bytom;
41-905;œl¹skie;Bytom;Bytom;
41-906;œl¹skie;Bytom;Bytom;
41-907;œl¹skie;Bytom;Bytom;
41-909;œl¹skie;Bytom;Bytom;
41-910;œl¹skie;Bytom;Bytom;
41-914;œl¹skie;Bytom;Bytom;
41-922;œl¹skie;tarnogórski;Radzionków;
41-923;œl¹skie;Bytom;Bytom;
41-933;œl¹skie;Bytom;Bytom;
41-935;œl¹skie;Bytom;Bytom;
41-936;œl¹skie;Bytom;Bytom;
41-940;œl¹skie;Piekary Œl¹skie;Piekary Œl¹skie;
41-943;œl¹skie;Piekary Œl¹skie;Piekary Œl¹skie;
41-945;œl¹skie;Piekary Œl¹skie;Piekary Œl¹skie;
41-946;œl¹skie;Piekary Œl¹skie;Piekary Œl¹skie;
41-948;œl¹skie;Piekary Œl¹skie;Piekary Œl¹skie;
41-949;œl¹skie;Piekary Œl¹skie;Piekary Œl¹skie;
42-100;œl¹skie;k³obucki;K³obuck;
42-110;œl¹skie;k³obucki;Popów;
42-120;œl¹skie;k³obucki;MiedŸno;
42-122;œl¹skie;k³obucki;MiedŸno;
42-125;œl¹skie;k³obucki;K³obuck;
42-130;œl¹skie;k³obucki;Wrêczyca Wielka;
42-133;œl¹skie;k³obucki;Wrêczyca Wielka;
42-134;œl¹skie;k³obucki;Wrêczyca Wielka;
42-140;œl¹skie;k³obucki;Panki;
42-141;œl¹skie;k³obucki;Przystajñ;
42-142;œl¹skie;k³obucki;Przystajñ;
42-151;œl¹skie;k³obucki;Opatów;
42-152;œl¹skie;k³obucki;Opatów;
42-160;œl¹skie;k³obucki;Krzepice;
42-161;œl¹skie;k³obucki;Krzepice;
42-164;œl¹skie;k³obucki;Lipie;
42-165;œl¹skie;k³obucki;Lipie;
42-207;œl¹skie;Czêstochowa;Czêstochowa;
42-208;œl¹skie;Czêstochowa;Czêstochowa;
42-209;œl¹skie;Czêstochowa;Czêstochowa;
42-215;œl¹skie;Czêstochowa;Czêstochowa;
42-216;œl¹skie;Czêstochowa;Czêstochowa;
42-217;œl¹skie;Czêstochowa;Czêstochowa;
42-218;œl¹skie;Czêstochowa;Czêstochowa;
42-221;œl¹skie;Czêstochowa;Czêstochowa;
42-224;œl¹skie;Czêstochowa;Czêstochowa;
42-226;œl¹skie;Czêstochowa;Czêstochowa;
42-229;œl¹skie;Czêstochowa;Czêstochowa;
42-230;œl¹skie;czêstochowski;Koniecpol;
42-231;œl¹skie;czêstochowski;Mykanów;
42-233;œl¹skie;czêstochowski;Mykanów;
42-235;œl¹skie;czêstochowski;Lelów;
42-240;œl¹skie;czêstochowski;Rêdziny;
42-242;œl¹skie;czêstochowski;Rêdziny;
42-244;œl¹skie;czêstochowski;Mstów;
42-248;œl¹skie;czêstochowski;Przyrów;
42-250;œl¹skie;czêstochowski;Przyrów;
42-253;œl¹skie;czêstochowski;Janów;
42-256;œl¹skie;czêstochowski;Olsztyn;
42-260;œl¹skie;czêstochowski;Kamienica Polska;
42-261;œl¹skie;czêstochowski;Starcza;
42-262;œl¹skie;czêstochowski;Poczesna;
42-263;œl¹skie;czêstochowski;Poczesna;
42-265;œl¹skie;czêstochowski;D¹browa Zielona;
42-270;œl¹skie;czêstochowski;K³omnice;
42-271;œl¹skie;Czêstochowa;Czêstochowa;
42-274;œl¹skie;czêstochowski;Konopiska;
42-280;œl¹skie;Czêstochowa;Czêstochowa;
42-282;œl¹skie;czêstochowski;Kruszyna;
42-283;œl¹skie;lubliniecki;Boronów;
42-284;œl¹skie;lubliniecki;Herby;
42-286;œl¹skie;lubliniecki;Koszêcin;
42-287;œl¹skie;lubliniecki;WoŸniki;
42-288;œl¹skie;lubliniecki;Koszêcin;
42-289;œl¹skie;lubliniecki;WoŸniki;
42-290;œl¹skie;czêstochowski;Blachownia;
42-300;œl¹skie;myszkowski;Myszków;
42-310;œl¹skie;myszkowski;¯arki;
42-311;œl¹skie;myszkowski;¯arki;
42-320;œl¹skie;myszkowski;Niegowa;
42-350;œl¹skie;myszkowski;Kozieg³owy;
42-360;œl¹skie;myszkowski;Poraj;
42-400;œl¹skie;zawierciañski;Zawiercie;
42-421;œl¹skie;zawierciañski;W³odowice;
42-425;œl¹skie;zawierciañski;Kroczyce;
42-427;œl¹skie;zawierciañski;Kroczyce;
42-436;œl¹skie;zawierciañski;Pilica;
42-439;œl¹skie;zawierciañski;¯arnowiec;
42-440;œl¹skie;zawierciañski;Ogrodzieniec;
42-445;œl¹skie;zawierciañski;Szczekociny;
42-446;œl¹skie;zawierciañski;Irz¹dze;
42-450;œl¹skie;zawierciañski;£azy;
42-454;œl¹skie;zawierciañski;£azy;
42-456;œl¹skie;zawierciañski;£azy;
42-457;œl¹skie;zawierciañski;£azy;
42-458;œl¹skie;zawierciañski;£azy;
42-460;œl¹skie;bêdziñski;Mierzêcice;
42-470;œl¹skie;bêdziñski;Siewierz;
42-480;œl¹skie;zawierciañski;Porêba;
42-500;œl¹skie;bêdziñski;Bêdzin;
42-504;œl¹skie;bêdziñski;Psary;
42-510;œl¹skie;bêdziñski;Siewierz;
42-512;œl¹skie;bêdziñski;Psary;
42-520;œl¹skie;D¹browa Górnicza;D¹browa Górnicza;
42-523;œl¹skie;D¹browa Górnicza;D¹browa Górnicza;
42-530;œl¹skie;D¹browa Górnicza;D¹browa Górnicza;
42-575;œl¹skie;bêdziñski;Psary;
42-580;œl¹skie;bêdziñski;Wojkowice;
42-582;œl¹skie;bêdziñski;Bobrowniki;
42-583;œl¹skie;bêdziñski;Bobrowniki;
42-584;œl¹skie;bêdziñski;Bobrowniki;
42-595;œl¹skie;bêdziñski;Bobrowniki;
42-600;œl¹skie;tarnogórski;Tarnowskie Góry;
42-603;œl¹skie;tarnogórski;Tarnowskie Góry;
42-605;œl¹skie;tarnogórski;Tarnowskie Góry;
42-606;œl¹skie;tarnogórski;Tarnowskie Góry;
42-609;œl¹skie;tarnogórski;Tarnowskie Góry;
42-610;œl¹skie;tarnogórski;Miasteczko Œl¹skie;
42-612;œl¹skie;tarnogórski;Tarnowskie Góry;
42-620;œl¹skie;tarnogórski;Œwierklaniec;
42-622;œl¹skie;tarnogórski;Œwierklaniec;
42-624;œl¹skie;tarnogórski;O¿arowice;
42-625;œl¹skie;tarnogórski;O¿arowice;
42-660;œl¹skie;tarnogórski;Kalety;
42-672;œl¹skie;tarnogórski;Zbros³awice;
42-674;œl¹skie;tarnogórski;Zbros³awice;
42-675;œl¹skie;tarnogórski;Zbros³awice;
42-676;œl¹skie;tarnogórski;Zbros³awice;
42-677;œl¹skie;tarnogórski;Zbros³awice;
42-680;œl¹skie;tarnogórski;Tarnowskie Góry;
42-690;œl¹skie;tarnogórski;Tworóg;
42-693;œl¹skie;tarnogórski;Krupski M³yn;
42-700;œl¹skie;lubliniecki;Lubliniec;
42-713;œl¹skie;lubliniecki;Kochanowice;
42-714;œl¹skie;lubliniecki;Herby;
42-772;œl¹skie;lubliniecki;Pawonków;
42-793;œl¹skie;lubliniecki;Ciasna;
43-100;œl¹skie;Tychy;Tychy;
43-109;œl¹skie;Tychy;Tychy;
43-110;œl¹skie;Tychy;Tychy;
43-140;œl¹skie;bieruñsko-lêdziñski;Lêdziny;
43-143;œl¹skie;bieruñsko-lêdziñski;Lêdziny;
43-150;œl¹skie;bieruñsko-lêdziñski;Bieruñ;
43-155;œl¹skie;bieruñsko-lêdziñski;Bieruñ;
43-175;œl¹skie;miko³owski;Wyry;
43-176;œl¹skie;miko³owski;Wyry;
43-178;œl¹skie;miko³owski;Ornontowice;
43-180;œl¹skie;miko³owski;Orzesze;
43-186;œl¹skie;miko³owski;Orzesze;
43-187;œl¹skie;miko³owski;Orzesze;
43-188;œl¹skie;miko³owski;Orzesze;
43-190;œl¹skie;miko³owski;Miko³ów;
43-195;œl¹skie;miko³owski;Miko³ów;
43-200;œl¹skie;pszczyñski;Pszczyna;
43-210;œl¹skie;pszczyñski;Kobiór;
43-211;œl¹skie;pszczyñski;Pszczyna;
43-215;œl¹skie;pszczyñski;Pszczyna;
43-220;œl¹skie;bieruñsko-lêdziñski;Bojszowy;
43-225;œl¹skie;pszczyñski;MiedŸna;
43-227;œl¹skie;pszczyñski;MiedŸna;
43-229;œl¹skie;pszczyñski;Pszczyna;
43-230;œl¹skie;pszczyñski;Gocza³kowice-Zdrój;
43-241;œl¹skie;pszczyñski;Pszczyna;
43-243;œl¹skie;pszczyñski;Pszczyna;
43-245;œl¹skie;pszczyñski;Pszczyna;
43-246;œl¹skie;cieszyñski;Strumieñ;
43-251;œl¹skie;pszczyñski;Paw³owice;
43-252;œl¹skie;pszczyñski;Paw³owice;
43-253;œl¹skie;pszczyñski;Paw³owice;
43-254;œl¹skie;pszczyñski;Paw³owice;
43-262;œl¹skie;pszczyñski;Suszec;
43-265;œl¹skie;pszczyñski;Suszec;
43-267;œl¹skie;pszczyñski;Suszec;
43-300;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-303;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-308;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-309;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-310;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-316;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-318;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-330;œl¹skie;bielski;Wilamowice;
43-331;œl¹skie;bielski;Wilamowice;
43-332;œl¹skie;bielski;Wilamowice;
43-340;œl¹skie;bielski;Kozy;
43-344;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-346;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-353;œl¹skie;bielski;Por¹bka;
43-354;œl¹skie;bielski;Por¹bka;
43-356;œl¹skie;bielski;Por¹bka;
43-360;œl¹skie;bielski;Wilkowice;
43-365;œl¹skie;bielski;Wilkowice;
43-370;œl¹skie;bielski;Szczyrk;
43-374;œl¹skie;bielski;Buczkowice;
43-376;œl¹skie;bielski;Buczkowice;
43-378;œl¹skie;bielski;Buczkowice;
43-380;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-382;œl¹skie;Bielsko-Bia³a;Bielsko-Bia³a;
43-384;œl¹skie;bielski;Jaworze;
43-385;œl¹skie;bielski;Jasienica;
43-386;œl¹skie;bielski;Jasienica;
43-391;œl¹skie;bielski;Jasienica;
43-392;œl¹skie;bielski;Jasienica;
43-394;œl¹skie;bielski;Jasienica;
43-400;œl¹skie;cieszyñski;Cieszyn;
43-410;œl¹skie;cieszyñski;Zebrzydowice;
43-416;œl¹skie;cieszyñski;Ha¿lach;
43-417;œl¹skie;cieszyñski;Zebrzydowice;
43-418;œl¹skie;cieszyñski;Ha¿lach;
43-419;œl¹skie;cieszyñski;Ha¿lach;
43-424;œl¹skie;cieszyñski;Strumieñ;
43-426;œl¹skie;cieszyñski;Dêbowiec;
43-430;œl¹skie;cieszyñski;Skoczów;
43-436;œl¹skie;cieszyñski;Brenna;
43-438;œl¹skie;cieszyñski;Brenna;
43-440;œl¹skie;cieszyñski;Goleszów;
43-445;œl¹skie;cieszyñski;Goleszów;
43-450;œl¹skie;cieszyñski;Ustroñ;
43-460;œl¹skie;cieszyñski;Wis³a;
43-470;œl¹skie;cieszyñski;Istebna;
43-474;œl¹skie;cieszyñski;Istebna;
43-476;œl¹skie;cieszyñski;Istebna;
43-502;œl¹skie;bielski;Czechowice-Dziedzice;
43-512;œl¹skie;bielski;Bestwina;
43-514;œl¹skie;bielski;Bestwina;
43-516;œl¹skie;bielski;Czechowice-Dziedzice;
43-518;œl¹skie;bielski;Czechowice-Dziedzice;
43-520;œl¹skie;cieszyñski;Chybie;
43-523;œl¹skie;cieszyñski;Strumieñ;
43-600;œl¹skie;Jaworzno;Jaworzno;
43-602;œl¹skie;Jaworzno;Jaworzno;
43-603;œl¹skie;Jaworzno;Jaworzno;
43-607;œl¹skie;Jaworzno;Jaworzno;
43-608;œl¹skie;Jaworzno;Jaworzno;
44-100;œl¹skie;Gliwice;Gliwice;
44-102;œl¹skie;Gliwice;Gliwice;
44-103;œl¹skie;Gliwice;Gliwice;
44-105;œl¹skie;Gliwice;Gliwice;
44-109;œl¹skie;Gliwice;Gliwice;
44-113;œl¹skie;Gliwice;Gliwice;
44-114;œl¹skie;Gliwice;Gliwice;
44-117;œl¹skie;Gliwice;Gliwice;
44-119;œl¹skie;Gliwice;Gliwice;
44-120;œl¹skie;gliwicki;Pyskowice;
44-121;œl¹skie;Gliwice;Gliwice;
44-122;œl¹skie;Gliwice;Gliwice;
44-141;œl¹skie;Gliwice;Gliwice;
44-144;œl¹skie;gliwicki;Pilchowice;
44-145;œl¹skie;gliwicki;Pilchowice;
44-151;œl¹skie;Gliwice;Gliwice;
44-152;œl¹skie;Gliwice;Gliwice;
44-153;œl¹skie;gliwicki;Soœnicowice;
44-156;œl¹skie;gliwicki;Soœnicowice;
44-160;œl¹skie;gliwicki;Rudziniec;
44-164;œl¹skie;Gliwice;Gliwice;
44-171;œl¹skie;gliwicki;Rudziniec;
44-172;œl¹skie;gliwicki;Rudziniec;
44-177;œl¹skie;gliwicki;Giera³towice;
44-178;œl¹skie;gliwicki;Giera³towice;
44-180;œl¹skie;gliwicki;Toszek;
44-186;œl¹skie;gliwicki;Giera³towice;
44-187;œl¹skie;gliwicki;Wielowieœ;
44-189;œl¹skie;gliwicki;Pilchowice;
44-190;œl¹skie;gliwicki;Knurów;
44-193;œl¹skie;gliwicki;Knurów;
44-194;œl¹skie;gliwicki;Knurów;
44-196;œl¹skie;gliwicki;Knurów;
44-200;œl¹skie;Rybnik;Rybnik;
44-203;œl¹skie;Rybnik;Rybnik;
44-206;œl¹skie;Rybnik;Rybnik;
44-207;œl¹skie;Rybnik;Rybnik;
44-210;œl¹skie;Rybnik;Rybnik;
44-213;œl¹skie;Rybnik;Rybnik;
44-217;œl¹skie;Rybnik;Rybnik;
44-218;œl¹skie;Rybnik;Rybnik;
44-237;œl¹skie;rybnicki;Czerwionka-Leszczyny;
44-238;œl¹skie;rybnicki;Czerwionka-Leszczyny;
44-240;œl¹skie;¯ory;¯ory;
44-241;œl¹skie;¯ory;¯ory;
44-244;œl¹skie;¯ory;¯ory;
44-245;œl¹skie;¯ory;¯ory;
44-246;œl¹skie;rybnicki;Czerwionka-Leszczyny;
44-247;œl¹skie;¯ory;¯ory;
44-251;œl¹skie;Rybnik;Rybnik;
44-253;œl¹skie;Rybnik;Rybnik;
44-264;œl¹skie;rybnicki;Œwierklany;
44-266;œl¹skie;rybnicki;Œwierklany;
44-268;œl¹skie;Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;
44-270;œl¹skie;Rybnik;Rybnik;
44-273;œl¹skie;Rybnik;Rybnik;
44-274;œl¹skie;Rybnik;Rybnik;
44-280;œl¹skie;wodzis³awski;Rydu³towy;
44-282;œl¹skie;rybnicki;Gaszowice;
44-284;œl¹skie;rybnicki;Lyski;
44-285;œl¹skie;raciborski;Kornowac;
44-286;œl¹skie;wodzis³awski;Wodzis³aw Œl¹ski;
44-290;œl¹skie;rybnicki;Jejkowice;
44-292;œl¹skie;Rybnik;Rybnik;
44-293;œl¹skie;rybnicki;Gaszowice;
44-295;œl¹skie;rybnicki;Lyski;
44-300;œl¹skie;wodzis³awski;Wodzis³aw Œl¹ski;
44-307;œl¹skie;wodzis³awski;Wodzis³aw Œl¹ski;
44-310;œl¹skie;wodzis³awski;Radlin;
44-313;œl¹skie;wodzis³awski;Wodzis³aw Œl¹ski;
44-321;œl¹skie;wodzis³awski;Marklowice;
44-323;œl¹skie;wodzis³awski;Mszana;
44-325;œl¹skie;wodzis³awski;Mszana;
44-330;œl¹skie;Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;
44-335;œl¹skie;Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;
44-336;œl¹skie;Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;
44-337;œl¹skie;Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;
44-338;œl¹skie;Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;
44-340;œl¹skie;wodzis³awski;Godów;
44-341;œl¹skie;wodzis³awski;Godów;
44-348;œl¹skie;wodzis³awski;Godów;
44-350;œl¹skie;wodzis³awski;Gorzyce;
44-351;œl¹skie;wodzis³awski;Wodzis³aw Œl¹ski;
44-352;œl¹skie;wodzis³awski;Gorzyce;
44-353;œl¹skie;wodzis³awski;Gorzyce;
44-360;œl¹skie;wodzis³awski;Lubomia;
44-361;œl¹skie;wodzis³awski;Lubomia;
44-362;œl¹skie;wodzis³awski;Gorzyce;
44-370;œl¹skie;wodzis³awski;Pszów;
44-373;œl¹skie;wodzis³awski;Wodzis³aw Œl¹ski;
